X,GeneID,logFC_CK1a.ctrl,adjpval_CK1a.ctrl,logFC_CK1aL.ctrl,adjpval_CK1aL.ctrl,logFC_CK1e.ctrl,adjpval_CK1e.ctrl,logFC_CK1d.ctrl,adjpval_CK1d.ctrl,logFC_DVL3.ctrl,adjpval_DVL3.ctrl,logFC_CK1a.wnt3a,adjpval_CK1a.wnt3a,logFC_CK1aL.wnt3a,adjpval_CK1aL.wnt3a,logFC_CK1d.wnt3a,adjpval_CK1d.wnt3a,logFC_CK1e.wnt3a,adjpval_CK1e.wnt3a,logFC_DVL3.wnt3a,adjpval_DVL3.wnt3a
1312,PARG,-4.463343,5.27E-09,-1.985991,0.000873552,-4.77253,1.09E-10,-3.194616,6.73E-07,-0.9803909,0.07851096,1.354098,0.6930853,-3.126837,0.0002732,-0.7629178,0.9999914,0.758996,0.8746394,0.4235458,0.9970706
1313,PARP1,-2.471832,2.18E-14,-1.649607,1.65E-10,-3.581952,1.30E-20,-3.275695,2.26E-19,-4.44483,1.26E-23,-0.08903408,0.9991471,0.2116453,0.9983285,-0.06022676,0.9999914,0.01246465,0.9940709,-0.3588483,0.8043444
1314,PARP4,-0.9086816,0.3337257,-1.429837,0.0998168,-1.642227,0.05212834,-1.39467,0.09765636,1.539762,0.06821098,-0.4466276,0.9991471,-0.3098666,0.9983285,-0.3528584,0.9999914,-0.2897168,0.9940709,-0.3127816,0.9970706
1315,PASK,1.841276,0.03442387,3.871677,1.30E-05,1.430759,0.06908025,4.274159,1.77E-06,0.26425,0.7468267,-0.06447433,0.9991471,1.054817,0.9983285,0.1372985,0.9999914,-0.6348906,0.9807714,-0.2351968,0.9970706
1316,PATL1,-0.7156088,0.254331,1.225203,0.03632479,-1.292827,0.02365459,1.956198,0.000937607,2.753753,9.33E-06,-1.578662,0.5450527,-0.7161531,0.9983285,0.01586859,0.9999914,1.168339,0.6824571,0.06646812,0.9970706
1317,PAXBP1,-1.518412,0.02657638,-1.837953,0.004707622,-1.303344,0.03607538,-1.762733,0.005308942,-2.959909,1.19E-05,0.417601,0.9991471,-0.18028,0.9983285,0.3285549,0.9999914,-0.6035745,0.9482655,-0.02981226,0.9970706
1318,PC,-0.2404909,0.2031752,-0.2329716,0.1852144,-0.02668133,0.8859038,0.007159473,0.9717261,-0.1848346,0.2813124,-0.02630495,0.9991471,0.007614139,0.9983285,-0.09676407,0.9999914,0.05193876,0.9940709,0.09626168,0.9970706
1319,PCBP1,-0.08700116,0.8083915,-0.4614002,0.1461337,-0.06807314,0.8374295,-0.5107621,0.0970689,-0.4865589,0.1145299,-0.2267812,0.9991471,-0.04888969,0.9983285,0.04959971,0.9999914,-0.3553678,0.9165444,-0.03683988,0.9970706
1320,PCBP2,0.378215,0.1856553,-0.1960689,0.4687778,0.1876329,0.4744329,0.01675481,0.9562387,-0.05499147,0.8370375,-0.1284,0.9991471,0.1700633,0.9983285,-0.1421436,0.9999914,-0.09116842,0.9940709,-0.1584588,0.9970706
1321,PCCA,1.330186,9.47E-05,1.055428,0.000639092,1.265733,5.26E-05,0.8990752,0.002451492,0.7009528,0.01540546,0.1254008,0.9991471,0.1511064,0.9983285,0.1907268,0.9999914,-0.2439116,0.971859,0.009251279,0.9970706
1322,PCCB,-4.240269,1.62E-07,-0.5390785,0.4080409,-1.685627,0.008025643,0.01961168,0.9781551,-1.748777,0.005572286,0.2574523,0.9991471,-0.1973346,0.9983285,-0.4281942,0.9999914,0.1839783,0.9940709,-0.2095459,0.9970706
1323,PCDH19,2.727672,8.88E-05,7.348776,4.99E-15,2.296201,0.000244928,1.72387,0.00417688,0.3610479,0.5497581,-1.239642,0.8470587,0.1113198,0.9983285,0.4634786,0.9999914,0.09947749,0.9940709,0.6357306,0.9970706
1324,PCDH7,2.980317,6.57E-05,3.661726,6.97E-07,8.098618,1.21E-15,8.761476,1.01E-16,1.429514,0.02301976,-0.5337324,0.9991471,1.148311,0.8877529,-0.6633202,0.9999914,0.3209903,0.9940709,-1.09574,0.8268888
1325,PCDH9,1.986975,0.0193046,1.746894,0.02758157,4.115899,2.34E-06,3.095253,0.000154649,0.5387452,0.4901718,0.4561911,0.9991471,-0.3032924,0.9983285,0.4260601,0.9999914,-0.09497104,0.9940709,-0.009559851,0.9970706
1326,PCF11,-3.243854,0.000775444,-0.1495748,0.8724506,-3.759327,4.09E-05,-2.37587,0.005535747,-5.126241,1.56E-07,0.5377376,0.9991471,-1.070849,0.9983285,-1.729908,0.9202631,-1.16178,0.8742025,0.5064052,0.9970706
1327,PCM1,5.073322,1.59E-23,4.370576,1.87E-22,7.03397,1.47E-29,7.128075,1.08E-29,-0.3733459,0.06693254,0.09162626,0.9991471,0.08142181,0.9983285,0.1145526,0.9999914,-0.1132408,0.9940709,-0.1882523,0.9970706
1328,PCNP,-3.010324,0.00324768,-1.784335,0.0559456,-1.623636,0.07298345,-5.704817,1.07E-07,-5.333615,3.24E-07,0.3936256,0.9991471,-0.6255809,0.9983285,0.1608622,0.9999914,-1.424249,0.8011008,-0.09852513,0.9970706
1329,PCNT,4.281211,5.75E-05,5.116122,9.70E-07,7.004323,9.18E-10,8.67278,3.70E-12,2.935564,0.001370442,2.010674,0.8216672,1.713917,0.8851474,-0.3664309,0.9999914,0.2889327,0.9940709,0.02324852,0.9970706
1330,PCYT1A,1.002252,0.08292011,5.352784,1.52E-12,0.6110483,0.2430853,0.5109096,0.332337,-0.3186067,0.5539477,0.2129727,0.9991471,-0.2630385,0.9983285,0.26471,0.9999914,-0.5340836,0.9482655,-0.02574107,0.9970706
1331,PDAP1,0.8310725,0.3003408,0.9527828,0.2019512,1.811692,0.01344742,-0.5564256,0.4511137,-0.7817409,0.2830869,-0.1580719,0.9991471,0.08616906,0.9983285,-0.07287992,0.9999914,-1.5117,0.6824571,0.09611278,0.9970706
1332,PDCD2L,-0.8738093,0.1590019,-1.320862,0.02306449,-1.083651,0.05389054,-1.519574,0.007767,-2.573013,2.25E-05,0.02515537,0.9991471,-1.085553,0.8851474,0.6755596,0.9999914,0.2563318,0.9940709,0.4724104,0.9970706
1333,PDCD4,-2.877946,3.26E-06,-1.21568,0.01854646,-2.770731,1.25E-06,-2.508386,6.19E-06,-3.970602,4.31E-10,-0.569065,0.9991471,0.388141,0.9983285,-0.134218,0.9999914,0.1806963,0.9940709,0.8332547,0.8647927
1334,PDCD5,-2.696,0.006500383,0.3981112,0.6701152,0.9036839,0.3071396,-0.6127461,0.4978374,0.7300456,0.4145568,2.421787,0.5450527,0.5419941,0.9983285,0.1687632,0.9999914,-0.2927013,0.9940709,0.124463,0.9970706
1335,PDE4DIP,0.07266447,0.9169579,3.768728,8.80E-08,8.797635,8.84E-18,9.881793,2.26E-19,1.144463,0.04861457,0.04394554,0.9991471,-0.4635559,0.9983285,-0.01587763,0.9999914,-0.3874553,0.9940709,1.036247,0.8191219
1336,PDLIM1,-1.148201,0.1494902,-3.319685,3.45E-05,-3.943395,1.71E-06,-3.922854,1.72E-06,-1.421201,0.04866106,0.04749218,0.9991471,0.3410342,0.9983285,-0.3091883,0.9999914,-0.3927169,0.9940709,-0.2727774,0.9970706
1337,PDLIM5,-1.615815,0.000267526,-0.969867,0.01396503,-0.581284,0.1249913,-1.48599,0.000229135,0.6377486,0.09300577,0.4634284,0.9991471,0.000323032,0.999329,0.4534164,0.9999914,-0.2266092,0.9940709,-0.3706345,0.9970706
1338,PDLIM7,-0.8748356,0.2148851,-2.640443,0.000145837,0.7528141,0.2360684,-2.269158,0.000664545,1.438507,0.02403694,-0.6458007,0.9991471,0.3590716,0.9983285,0.7489033,0.9999914,-0.5450833,0.9692858,0.1409794,0.9970706
