X,GeneID,MajorityProteinIDs,logFC_RIK.CTRL,adjpval_RIK.CTRL
255,EEF1G,P26641,-0.426,0.39355159
256,EEF2,P13639,-0.338,0.617126037
257,EFTUD2,Q15029,0.848,0.018151552
258,EIF2S1,P05198,0.654,0.796948789
259,EIF2S2,P20042,-4.12,0.039704664
260,EIF2S3,P41091,-1.01,0.062443614
261,EIF3B,P55884,1.44,0.500534826
262,EIF3C,Q99613,-0.383,0.88930374
263,EIF3D,O15371,0.559,0.039172486
264,EIF3E,P60228,3.22,0.117368596
265,EIF3F,O00303,-0.339,0.709823222
266,EIF3G,O75821,3.36,0.159810958
267,EIF3H,O15372,0.519,0.757821529
268,EIF3I,Q13347,0.0379,0.942797353
269,EIF4A1,P60842,-0.568,0.45160886
270,EIF4A3,P38919,-0.992,0.077924712
271,EIF5B,O60841,-4.3,0.016268621
272,ELAVL1,Q15717,-0.87,0.034075271
273,ENO1,P06733,0.0913,0.876230522
274,EP400,Q96L91,2.25,0.043017084
275,EPRS1,P07814,0.675,0.040723436
276,ERH,P84090,-1.58,0.005829765
277,ERLIN2,O94905,2.54,0.00121229
278,ESF1,Q9H501,1.54,0.558987485
279,ESRP1,Q6NXG1,-2.33,0.031605199
280,ESYT2,A0FGR8,7.34,0.000506632
281,ETFA,P13804,2.58,0.21784374
282,EWSR1,Q01844,-0.787,0.074057626
283,EXOC1,Q9NV70,8.32,2.94e-05
284,EXOC2,Q96KP1,5.52,0.009809734
285,EXOC3,O60645,4.83,0.033300009
286,EXOC4,Q96A65,8.61,3.35e-05
287,EXOSC6,Q5RKV6,-3.92,0.037235134
288,FAF2,Q96CS3,1.8,0.001260659
289,RAMAC,A0A3B3IU46,-1.29,0.126945973
290,FAM120A,Q9NZB2,-0.758,0.062443614
291,FAM98A,Q8NCA5,-2.16,0.000712549
292,FANCD2,Q9BXW9,4.4,0.017076458
293,FANCI,Q9NVI1,3.41,0.064421175
294,FAR1,Q8WVX9,3.72,0.070346146
295,FARSB,Q9NSD9,0.352,0.828219302
296,FASN,P49327,-0.299,0.754708169
297,FASTKD5,Q7L8L6,4.49,0.004129078
298,FBL,P22087,-0.398,0.335947491
299,FKBP8,Q14318,2.43,0.132233181
300,FLG,P20930,1.88,0.117374643
301,FN3KRP,Q9HA64,-2.36,0.001143717
302,FUBP1,Q96AE4,0.261,0.906356939
303,FUS,P35637,-0.851,0.163991527
304,G3BP1,Q13283,-0.868,0.000555894
305,G3BP2,Q9UN86,-1.22,0.006587502
306,GALK1,P51570,0.959,0.002179377
307,GANAB,Q14697,1.97,0.066671978
308,GAPDH,P04406,-1.19,0.212244026
309,GARS1,P41250,1.12,0.046299561
310,GART,P22102,3.2,0.222453367
311,GCDH,Q92947,6.48,0.004218479
312,GCN1,Q92616,0.24,0.613620417
313,GEMIN4,P57678,0.611,0.059027385
314,GIGYF2,Q6Y7W6,5.37,0.001586775
315,GIPC1,O14908,-0.817,0.003221577
316,GLA,P06280,0.284,0.875872801
317,GMDS,O60547,0.645,0.055127882
318,RACK1,P63244,0.0762,0.87368611
319,GNL3,Q9BVP2,-0.0982,0.785897176
320,GNL3L,Q9NVN8,3.62,0.070656073
321,GPN3,Q9UHW5,6.78,0.000675265
322,GPRASP2,Q96D09,5.54,0.007353271
323,GRN,P28799,-0.908,0.018765161
324,GRPEL1,Q9HAV7,-0.593,0.127373213
325,GTF2I,P78347,-0.578,0.176001574
326,GTPBP4,Q9BZE4,-1.09,0.269250398
327,H1-10,Q92522,-2.58,0.095862657
328,H2AZ2,Q71UI9,-1.26,0.170290995
329,H2AX,P16104,-1.86,0.05341904
330,MACROH2A1,O75367,-1.74,0.213098221
331,HACD3,Q9P035,8.4,7.92e-05
332,HAX1,O00165,1.97,1.7e-05
333,HBA1,P69905,4.18,0.037616311
334,HBB,P68871,4.44,0.03636104
335,HDAC1,Q13547,0.897,0.011511719
336,HDAC2,Q92769,-1,0.065810506
337,HDGF,P51858,-1.58,0.553741988
338,HEATR1,Q9H583,4.22,0.099008216
339,HIC2,Q96JB3,-0.079,0.798653674
340,HIGD1A,Q9Y241,0.799,0.17482425
341,H1-2,P16403,-0.898,0.415268008
342,H2AC14,Q99878,-1.99,0.210450588
343,H2BC13,Q99880,-0.22,0.84974671
344,H4C1,P62805,-0.307,0.756662338
345,H2AC20,Q16777,-0.618,0.586830088
