X,GeneID,MajorityProteinIDs,pval_DVL3.CTRL,pval_PRICKLE1.CTRL,pval_ROR1.CTRL,pval_ROR2.CTRL,pval_VANGL2.CTRL,adjpval_DVL3.CTRL,adjpval_PRICKLE1.CTRL,adjpval_ROR1.CTRL,adjpval_ROR2.CTRL,adjpval_VANGL2.CTRL,logFC_DVL3.CTRL,logFC_PRICKLE1.CTRL,logFC_ROR1.CTRL,logFC_ROR2.CTRL,logFC_VANGL2.CTRL
308,C3P1,Q6ZMU1,0.89233434,0.987025113,0.737837031,0.283423804,0.265328498,0.932,0.933,0.951,0.869,0.85,-0.153,-0.0183,-0.378,-1.22,-1.27
309,C9,P02748,7.37e-05,0.016696232,0.99597174,0.002540713,0.077179551,0.46,0.88,0.957,0.627,0.789,4.99,2.79,-0.00564,3.61,2.02
310,CA2,P00918,0.406942013,0.002442356,0.319768927,0.458101581,0.42366999,0.912,0.851,0.932,0.886,0.871,-1.14,-4.43,-1.37,-1.02,-1.1
311,CACYBP,Q9HB71,0.08158163,0.028679485,0.003307733,0.206562652,2.9e-05,0.866,0.887,0.707,0.858,0.181,-1.41,-1.8,-2.49,-1.01,3.79
312,CAD,P27708,0.384171853,0.038110804,0.083614629,0.693542551,0.913730811,0.91,0.891,0.891,0.9,0.902,0.398,-0.974,-0.805,-0.18,0.0493
313,CALR,P27797,0.137146586,0.002039462,0.04322108,0.950647431,0.43664206,0.882,0.848,0.865,0.911,0.872,-1.92,-4.21,-2.65,-0.0786,-0.993
314,CALU,O43852,0.036208566,0.088766608,0.36857524,0.511806956,0.373202821,0.838,0.902,0.935,0.89,0.865,-1.62,-1.3,-0.676,-0.492,-0.67
315,CAMSAP1,Q5T5Y3,2.11e-07,8.88e-13,0.835853363,0.255059004,0.000409745,0.0903,0.0759,0.954,0.866,0.383,4.21,7.15,0.136,0.756,2.55
316,CAMSAP3,Q9P1Y5,0.797302685,0.000108905,0.44185776,0.498640247,0.32464968,0.929,0.791,0.94,0.889,0.859,0.134,2.26,0.402,0.353,0.516
317,CANX,P27824,0.086443266,0.045953219,0.010347613,0.907933259,0.816764734,0.868,0.893,0.79,0.909,0.897,-2.07,-2.43,-3.18,0.137,-0.274
318,CAP1,Q01518,0.516246431,0.512213766,0.091453075,0.977703672,0.970840093,0.918,0.923,0.894,0.912,0.904,0.564,-0.57,-1.49,0.0242,-0.0317
319,CAPZB,P47756,0.788115553,0.84455959,0.015326896,0.485645622,0.239423609,0.929,0.93,0.813,0.888,0.846,-0.185,0.135,-1.74,-0.481,-0.816
320,CARHSP1,Q9Y2V2,0.016316036,0.009584508,0.000282822,0.010565527,0.015729876,0.806,0.872,0.469,0.718,0.688,-1.86,-2.02,-2.98,-1.99,-1.87
321,KNL1,Q8NG31,4.82e-05,2.99e-10,0.381842613,0.92670825,0.136876337,0.426,0.282,0.936,0.91,0.819,3.12,5.87,0.596,0.0623,1.02
322,CASP14,P31944,0.511813628,0.173587644,0.417066726,0.136235731,0.357294639,0.918,0.91,0.938,0.842,0.863,-0.536,-1.12,-0.664,-1.23,-0.755
323,CBR1,P16152,0.000907115,0.00011766,0.028619154,0.026854582,0.482833261,0.647,0.793,0.846,0.769,0.876,-3.55,-4.24,-2.23,-2.26,-0.693
324,CC2D1A,Q6P1N0,0.69335913,3.79e-08,0.546562769,0.42888024,0.223126709,0.925,0.518,0.945,0.884,0.843,0.361,6.38,0.553,0.726,-1.13
325,CCDC124,Q96CT7,0.318255879,0.06739095,0.827068957,0.289256324,0.240986174,0.906,0.898,0.954,0.87,0.846,0.871,1.62,-0.189,0.926,1.03
326,CCDC138,Q96M89,0.621877958,0.000550765,0.780118754,0.071505046,0.131590374,0.923,0.825,0.952,0.815,0.817,0.287,2.2,-0.162,-1.07,-0.891
327,CCDC22,O60826,0.34999322,0.082144868,0.003430883,0.705599377,0.890204466,0.908,0.901,0.71,0.901,0.901,0.386,0.729,1.28,0.155,-0.0566
328,CCDC43,Q96MW1,0.81675149,0.001727256,0.776453868,0.075686202,0.007390576,0.929,0.845,0.952,0.818,0.632,0.128,1.86,0.157,1,1.56
329,CCDC85C,A6NKD9,2.37e-07,6.05e-13,0.002631939,3.38e-07,0.369274897,0.0943,0.0679,0.688,0.0658,0.865,3.59,6.22,1.82,3.53,0.51
330,CCDC88C,Q9P219,0.964971712,5.34e-12,0.969980192,0.22737796,0.503221976,0.934,0.123,0.957,0.861,0.878,0.0195,4.5,-0.0167,0.541,-0.298
331,CCNT1,O60563,0.230304776,7.12e-05,0.311427826,0.203754938,0.206577077,0.897,0.781,0.931,0.857,0.839,0.702,2.59,0.59,0.744,0.74
332,CCSER2,Q9H7U1,0.145426058,5.5e-05,0.937753739,0.89915977,0.941401008,0.884,0.775,0.956,0.909,0.903,1.16,3.57,-0.0611,-0.0992,0.0576
333,CCT7,Q99832,0.183968406,0.203461277,0.043266237,0.647959131,0.925182356,0.891,0.912,0.865,0.898,0.902,-1.54,-1.48,-2.39,-0.524,0.108
334,CDC20,Q12834,0.542493657,1.15e-05,0.36640756,0.47241745,0.448145317,0.919,0.734,0.935,0.887,0.873,0.378,3.14,-0.562,-0.446,-0.471
335,CDC23,Q9UJX2,0.77631845,3.38e-05,0.997055061,0.200931887,0.799226427,0.928,0.763,0.958,0.857,0.897,0.163,2.72,0.00212,-0.744,-0.146
336,CDC37,Q16543,0.305487191,0.829498559,0.940645965,0.116888825,0.155522523,0.905,0.93,0.956,0.836,0.825,1.09,0.227,0.0784,1.68,1.52
337,CDC42,P60953,0.515374009,0.340672126,0.933868903,0.558813041,0.920284758,0.918,0.918,0.956,0.893,0.902,0.468,-0.688,-0.0595,-0.42,-0.0718
338,CDCA3,Q99618,0.645291042,0.127073701,0.306643129,5.98e-06,0.933112815,0.924,0.906,0.931,0.183,0.903,-0.264,0.89,0.591,3.04,0.0481
339,CDV3,Q9UKY7,0.641455883,6.34e-05,0.991062491,0.766717593,0.608724723,0.923,0.778,0.957,0.903,0.886,-0.329,3.19,0.00791,-0.21,0.362
340,CELSR1,Q9NYQ6,0.66472457,0.093298422,0.484691222,0.503624403,2.59e-06,0.924,0.902,0.942,0.889,0.0712,0.279,1.1,0.451,0.432,3.59
341,CENPV,Q7Z7K6,0.893280473,0.103328539,0.268941419,0.63122317,0.262232447,0.932,0.904,0.927,0.897,0.85,-0.0833,1.03,0.693,0.299,0.703
342,CEP131,Q9UPN4,0.765059765,0.00017969,0.162607626,0.571618313,0.458982579,0.928,0.802,0.913,0.894,0.874,0.315,4.39,-1.49,-0.598,-0.784
343,CEP152,O94986,0.00110855,9.84e-11,0.439347639,0.660116799,0.443464922,0.661,0.232,0.94,0.898,0.873,1.83,4.69,0.402,0.228,0.399
344,CEP85,Q6P2H3,4.93e-05,0.000181399,0.16644441,0.336466458,0.829582816,0.428,0.802,0.914,0.875,0.898,3.21,2.91,0.98,0.675,-0.15
345,CEPT1,Q9Y6K0,0.00607948,0.106610657,0.89840718,0.808969727,0.343611573,0.759,0.904,0.955,0.905,0.862,1.86,1.05,-0.0818,0.155,-0.611
346,CFL1,P23528,0.026527882,0.001183587,0.049518268,0.058854035,0.250725288,0.826,0.839,0.871,0.807,0.848,-0.768,-1.17,-0.675,-0.648,-0.387
347,CHORDC1,Q9UHD1,0.03353391,0.001914315,0.071295479,0.430803706,7.62e-06,0.835,0.847,0.885,0.884,0.111,1.34,2.03,1.12,0.481,3.17
348,CKB,P12277,0.65414068,0.011669221,0.215436101,0.796479264,0.53137807,0.924,0.875,0.921,0.905,0.88,-0.76,-4.48,-2.12,0.437,-1.06
349,CKMT1A,P12532,0.923622302,0.186113778,0.003515703,0.71519076,0.761378654,0.933,0.911,0.712,0.901,0.895,-0.0397,0.555,1.29,0.151,-0.126
350,CLCC1,Q96S66,0.765854816,0.256025109,0.914264129,0.949668365,1.46e-06,0.928,0.915,0.956,0.911,0.0553,-0.128,0.494,0.0464,0.0272,2.48
351,CLIC4,Q9Y696,0.000644614,2.41e-05,0.376536938,0.061302659,0.011424488,0.624,0.754,0.936,0.808,0.665,2.72,3.54,0.651,1.4,1.94
352,CLTC,Q00610,0.748220128,0.001858386,0.670609599,0.866748947,0.000563559,0.927,0.847,0.949,0.908,0.411,0.303,-3.16,-0.402,-0.158,3.56
353,CNN3,Q15417,0.000300205,2.53e-06,0.768225864,0.000624166,0.014227361,0.569,0.687,0.952,0.523,0.681,2.38,3.33,0.176,2.23,1.53
354,CNOT1,A5YKK6,0.000361067,0.000807368,0.430186812,0.326662453,0.827295852,0.583,0.832,0.939,0.874,0.898,3.24,3.01,-0.653,0.815,-0.18
355,COPA,P53621,0.699177316,0.35006296,0.740677625,0.774686467,0.172133677,0.926,0.919,0.951,0.904,0.83,-0.265,0.644,0.227,-0.196,0.948
356,CORO1C,Q9ULV4,0.016392949,0.728534195,0.165248365,0.595328639,0.221944007,0.806,0.928,0.914,0.895,0.842,-1.5,0.208,-0.842,0.318,-0.739
357,COX5B,P10606,0.000987673,0.023176042,0.003464676,0.181520845,0.022272825,0.653,0.884,0.711,0.853,0.712,-2.33,-1.54,-2.04,-0.884,-1.55
358,CPSF3,Q9UKF6,0.909216839,0.121575784,0.913993979,0.87841043,0.000447159,0.932,0.906,0.956,0.908,0.39,0.104,1.44,0.0985,0.14,3.52
359,CPSF6,Q16630,0.034412348,0.420077819,0.804224795,0.099238888,0.516564445,0.836,0.921,0.953,0.829,0.879,1.61,0.596,-0.182,1.24,-0.479
360,CRKL,P46109,0.232904628,0.308114717,0.106738324,0.147836958,0.618298366,0.897,0.917,0.9,0.845,0.886,0.544,0.464,0.742,0.663,0.225
361,CRYBG3,Q68DQ2,0.374953581,3.7e-05,0.658268486,0.58052309,0.02258711,0.91,0.765,0.949,0.894,0.713,-0.563,2.96,-0.279,-0.349,1.49
362,CS,O75390,0.124865279,0.01715575,0.34099445,0.540911521,0.177291069,0.879,0.88,0.934,0.892,0.832,-1.64,-2.61,-1.01,-0.644,-1.44
363,CSNK1E,P49674,0.50238815,1.59e-09,0.632621176,0.819097756,0.91092791,0.917,0.364,0.948,0.906,0.902,0.292,3.5,0.208,0.0994,0.0486
364,CSRP1,P21291,0.905371188,0.703258769,0.419006486,0.069959275,0.303072583,0.932,0.928,0.939,0.814,0.856,0.0835,0.268,-0.57,1.3,-0.729
365,CSRP2,Q16527,0.965243044,0.059919163,0.333666577,0.722238149,0.367814878,0.934,0.897,0.933,0.901,0.865,-0.0229,-1.01,-0.511,0.187,-0.475
366,CSTB,P04080,0.457247218,0.130458486,0.305429267,0.038361563,0.707971091,0.915,0.906,0.931,0.787,0.892,1.05,-2.17,1.46,3.01,-0.529
367,CTNNAL1,Q9UBT7,0.739180208,0.047657857,0.970811888,0.059374334,0.842295459,0.927,0.894,0.957,0.807,0.899,-0.231,1.41,0.0254,1.34,-0.138
368,CTPS2,Q9NRF8,0.645952069,0.018052361,0.216124007,0.413906305,0.072399768,0.924,0.881,0.922,0.883,0.785,-0.26,1.39,0.708,-0.465,-1.04
369,CXADR,P78310,0.461529501,0.310824433,0.515293324,0.000339577,0.875087198,0.915,0.917,0.943,0.475,0.9,-0.491,0.678,0.433,2.62,0.104
370,STEEP1,Q9H5V9,0.525573196,3.3e-09,0.797545099,0.001618507,0.83505975,0.918,0.4,0.953,0.595,0.898,-0.381,4.68,0.154,2.03,-0.125
371,CYCS,P99999,0.746992175,0.081927045,0.438376079,0.698581981,0.336202093,0.927,0.901,0.94,0.9,0.861,-0.343,-1.89,-0.828,0.412,-1.03
372,DARS1,P14868,0.134482565,0.134179514,0.035401889,0.499316441,0.429944349,0.882,0.907,0.856,0.889,0.871,-1.37,-1.37,-1.96,-0.61,-0.713
373,DBT,P11182,0.310524797,0.0310291,0.144505515,0.510588064,0.076789223,0.905,0.888,0.91,0.89,0.789,-1.98,-4.33,-2.87,-1.28,-3.51
374,DCD,P81605,0.97320556,0.512812979,0.01542391,0.17055281,0.906724448,0.934,0.924,0.813,0.851,0.902,0.021,0.41,1.58,0.868,0.0732
375,DCTPP1,Q9H773,0.190701632,0.408319872,0.191769784,0.904713126,0.61395495,0.892,0.921,0.918,0.909,0.886,-0.83,-0.521,-0.828,0.075,-0.317
376,DDOST,P39656,0.273874503,0.809692039,0.734729085,0.350410391,0.754879247,0.902,0.93,0.951,0.877,0.894,-1.18,-0.257,-0.361,1,0.333
377,DDX17,Q92841,0.968379846,0.036698506,0.019260955,0.49445325,0.122942864,0.934,0.891,0.826,0.889,0.814,-0.0422,-2.3,-2.6,-0.731,-1.67
378,DDX39A,O00148,0.408453402,0.203165809,0.207457631,0.77065064,0.788604901,0.912,0.912,0.92,0.904,0.896,0.704,-1.09,-1.08,0.247,0.227
379,DDX3X,O00571,0.003655226,0.001378737,0.344821347,0.046110568,0.023868347,0.733,0.841,0.934,0.795,0.717,0.992,1.11,-0.305,0.658,0.752
380,DDX5,P17844,0.07852103,8.44e-05,0.0009259,0.015051308,0.088338785,0.865,0.785,0.592,0.738,0.796,-0.581,-1.43,-1.16,-0.82,-0.562
381,DECR1,Q16698,0.253107062,0.791698899,0.152871337,0.771411301,0.483479332,0.899,0.929,0.911,0.904,0.876,0.567,-0.13,0.713,-0.143,-0.346
382,DENND4C,Q5VZ89,0.05693944,0.07651518,0.176142549,0.229125404,0.278389838,0.854,0.9,0.916,0.862,0.853,0.962,0.892,0.674,0.598,0.538
383,DEPDC1B,Q8WUY9,0.704205029,0.000253007,0.115870095,0.001300991,0.136383987,0.926,0.809,0.903,0.579,0.819,0.272,2.9,1.15,2.49,1.09
384,DHCR7,Q9UBM7,0.154451225,0.989343421,0.312483222,0.041616595,0.028795401,0.886,0.933,0.931,0.791,0.729,1.2,-0.0111,-0.848,1.75,1.89
385,DHX15,O43143,0.53100189,0.483634137,0.119442368,0.03216474,0.196216014,0.919,0.923,0.904,0.778,0.837,-0.735,-0.823,-1.86,-2.59,-1.53
386,DHX29,Q7Z478,0.519416751,0.001983426,0.398187244,0.769576973,0.907215098,0.918,0.848,0.937,0.904,0.902,0.421,2.17,-0.553,-0.191,-0.076
387,DLAT,P10515,0.017032712,0.001210466,0.045655079,0.97543944,0.141101522,0.808,0.839,0.867,0.912,0.821,-3.91,-5.51,-3.24,-0.0484,-2.35
388,DLD,P09622,0.120633031,0.004992658,0.037233351,0.189431761,0.219582259,0.878,0.862,0.858,0.855,0.842,-1.31,-2.48,-1.79,-1.11,-1.03
389,DLGAP5,Q15398,0.000667304,2.24e-07,0.170338923,0.253267332,0.2390355,0.627,0.596,0.915,0.865,0.846,3,5.16,1.12,0.932,0.961
390,DLST,P36957,0.312653146,0.003077867,0.098446138,0.218839191,0.226538251,0.905,0.855,0.897,0.86,0.843,-1.52,-4.73,-2.52,-1.86,-1.83
391,DNAJA1,P31689,0.010082703,0.133085367,0.115902659,0.18818774,0.793184049,0.784,0.907,0.903,0.854,0.896,-2.16,-1.22,-1.28,-1.06,-0.209
392,DNMBP,Q6XZF7,0.700568669,5.75e-07,0.345889446,0.152756865,0.698870178,0.926,0.633,0.934,0.846,0.891,0.2,3.15,0.493,0.754,0.201
393,DPYSL2,Q16555,0.000584404,6.78e-06,0.205614326,5.52e-06,0.000876306,0.617,0.718,0.92,0.179,0.45,3.49,4.88,1.19,4.94,3.36
394,DUT,P33316,0.142187759,0.003544395,0.313169418,0.627278528,0.001461388,0.883,0.857,0.931,0.897,0.495,-1.28,-2.67,-0.874,-0.418,-2.95
395,DYNC1I2,Q13409,0.475016797,0.706368203,0.483824968,0.327601215,0.102639722,0.916,0.928,0.942,0.875,0.804,0.382,0.201,0.374,0.525,0.887
396,EBP,Q15125,0.124857243,0.857575095,0.916828648,0.922458008,0.652652428,0.879,0.931,0.956,0.91,0.888,1.18,0.136,-0.079,0.0736,0.341
397,ECH1,Q13011,0.157930029,0.030109563,0.289046226,0.717988024,0.029801695,0.886,0.888,0.929,0.901,0.732,-1.23,-1.93,-0.92,-0.311,-1.94
398,EDC4,Q6P2E9,6.29e-05,6.43e-05,0.048120657,0.370379613,0.074179497,0.447,0.779,0.87,0.879,0.787,2.67,2.67,1.2,0.533,1.08
399,EDF1,O60869,0.924479306,0.858565192,0.764141684,0.416974223,0.750755822,0.933,0.931,0.952,0.883,0.894,0.0837,-0.157,-0.265,0.72,0.281
400,EEF1B2,P24534,0.949868154,0.729801711,0.357740294,0.832444745,0.681232836,0.933,0.928,0.935,0.906,0.89,0.0673,-0.37,-0.99,0.226,0.44
401,EEF1G,P26641,0.180788584,0.001936882,0.261491622,0.824008573,0.362487729,0.89,0.847,0.927,0.906,0.864,-1.25,-3.06,-1.04,-0.204,-0.842
402,EFHD2,Q96C19,0.005552466,0.000151445,0.910287894,0.023245705,0.077168167,0.755,0.798,0.956,0.762,0.789,2.8,4.02,0.107,2.24,1.72
403,EGFR,P00533,0.906288173,0.994866872,0.659339725,3.12e-05,0.312265198,0.932,0.933,0.949,0.29,0.858,0.0627,-0.00343,0.235,2.53,0.542
404,EGLN1,Q9GZT9,0.168323323,0.97466974,0.493838234,0.449843198,0.000220135,0.888,0.933,0.942,0.885,0.33,1.02,0.0232,0.502,0.555,3
405,EI24,O14681,0.07517772,0.239933499,0.142751788,0.07052418,0.782596949,0.863,0.914,0.909,0.815,0.896,-1.46,-0.951,-1.19,-1.48,-0.221
406,EIF1AX,P47813,0.166506162,0.089678283,0.121912585,0.777777901,0.959242872,0.888,0.902,0.904,0.904,0.904,-1.18,-1.46,-1.32,-0.238,-0.043
407,EIF2AK3,Q9NZJ5,0.911552823,0.177361938,0.083393943,0.381470184,0.000696006,0.932,0.91,0.891,0.88,0.429,0.06,0.738,0.956,0.475,2
408,EIF2S3L,Q2VIR3,0.052493499,0.913826912,0.31111835,0.528392611,0.05580395,0.851,0.932,0.931,0.891,0.77,1.5,0.0814,-0.767,0.475,1.48
409,EIF3A,Q14152,0.768470775,0.335442045,0.004349763,0.06661873,0.536533363,0.928,0.918,0.729,0.812,0.88,0.224,0.739,-2.31,-1.43,-0.472
410,EIF3B,P55884,0.725338576,0.019742919,0.09133099,0.581947883,0.471950581,0.926,0.882,0.894,0.894,0.875,-0.207,-1.43,-1.01,-0.324,-0.425
411,EIF3D,O15371,0.507001299,0.580604537,0.873980666,0.560599773,0.757336642,0.918,0.925,0.955,0.893,0.894,0.631,-0.525,-0.15,0.553,0.293
412,EIF3G,O75821,0.003719598,0.000585733,0.118103628,0.725889828,0.742464108,0.733,0.826,0.903,0.902,0.894,2.28,2.78,-1.18,0.259,0.243
413,EIF3H,O15372,0.539053228,0.027355804,0.371017466,0.19093489,0.235236517,0.919,0.887,0.936,0.855,0.845,-0.482,-1.79,-0.705,-1.04,-0.939
414,EIF4A1,P60842,0.995758004,0.011163049,0.466485897,0.474301618,0.94921202,0.934,0.874,0.941,0.887,0.903,0.00254,-1.27,-0.349,0.342,0.0304
415,EIF4A3,P38919,0.551878581,0.013209715,0.007026478,0.273334246,0.624266109,0.92,0.877,0.764,0.868,0.887,-0.486,-2.11,-2.32,-0.9,-0.399
416,EIF4E2,O60573,0.006654831,0.001912456,0.065044183,0.027600102,0.303720063,0.764,0.847,0.882,0.77,0.856,3.16,3.67,2.08,2.51,1.14
417,EIF4G2,P78344,1.2e-06,2.31e-11,0.302177773,0.099650611,0.31452479,0.167,0.173,0.93,0.829,0.858,2.84,4.67,0.506,0.817,0.493
418,EIF4H,Q15056,0.242903485,0.503125044,0.141506986,0.022707306,0.090326306,0.898,0.923,0.909,0.76,0.797,1,0.572,-1.27,2.02,1.47
419,EIF5A,P63241,0.06516345,0.03351723,0.619270122,0.763760521,0.726542286,0.859,0.889,0.947,0.903,0.893,-1.41,-1.64,-0.371,-0.224,-0.261
420,EIF5B,O60841,0.042811296,0.030440132,0.681305894,0.990385018,0.24422612,0.844,0.888,0.949,0.912,0.847,2.2,2.36,0.433,-0.0127,1.24
421,ELAVL1,Q15717,0.536385109,0.00089023,0.040282265,0.553879944,0.233602048,0.919,0.834,0.862,0.893,0.845,-0.588,-3.42,-2.01,-0.563,-1.14
422,ELOVL1,Q9BW60,0.127754914,0.011450593,0.757017456,0.576982053,0.026405636,0.88,0.875,0.952,0.894,0.724,1.33,2.28,0.266,0.48,1.98
423,ELP4,Q96EB1,0.003143082,1.69e-07,0.96889666,0.075457188,0.52246047,0.724,0.584,0.957,0.818,0.879,2.24,4.6,0.0277,1.29,0.455
424,EMC8,O43402,0.84896387,0.332151772,0.616622949,0.64741083,0.00132299,0.93,0.918,0.947,0.898,0.486,-0.11,0.566,-0.291,0.266,2.01
425,ENAH,Q8N8S7,0.279773533,0.805011843,0.912895384,0.951667337,0.076706333,0.902,0.93,0.956,0.911,0.789,-1.3,0.295,-0.131,0.0724,-2.16
426,EPB41L1,Q9H4G0,0.566572589,1.07e-07,0.27377279,3.86e-06,0.188390318,0.92,0.564,0.928,0.16,0.835,-0.282,3.26,0.543,2.68,-0.655
427,EPPK1,P58107,0.315626711,0.015819543,0.621787869,0.225449046,0.528283188,0.905,0.879,0.947,0.861,0.88,-0.435,1.08,0.213,-0.527,0.272
428,EPRS1,P07814,0.000144531,0.000281715,0.66809275,0.153118739,0.061899421,0.513,0.812,0.949,0.847,0.776,2.34,2.21,-0.236,0.799,1.06
429,ERC1,Q8IUD2,1.74e-05,6.6e-10,0.634910653,0.000339408,0.306124142,0.346,0.32,0.948,0.475,0.857,4.41,7.46,0.424,3.52,0.918
430,ERH,P84090,0.35091179,0.010197744,0.064934515,0.312167178,0.174845917,0.908,0.873,0.882,0.873,0.831,-1.02,-2.93,-2.06,-1.11,-1.49
431,ETFA,P13804,0.086065608,0.205896268,0.522111498,0.81634661,0.06490174,0.868,0.912,0.944,0.906,0.779,1.26,-0.916,0.459,-0.166,1.35
432,EWSR1,Q01844,0.182715491,0.002731114,0.009102006,0.027035176,0.061828179,0.89,0.853,0.781,0.769,0.776,-1.44,-3.42,-2.93,-2.45,-2.05
433,EZR,P15311,0.368616286,0.167101404,0.811452914,0.016303286,0.315134083,0.909,0.91,0.953,0.743,0.858,0.913,1.41,-0.241,2.53,1.02
434,FABP5,Q01469,0.474229142,0.113159838,0.103346728,0.697113533,0.219912371,0.916,0.905,0.899,0.9,0.842,-0.773,-1.74,-1.79,-0.419,-1.33
435,FAM114A2,Q9NRY5,0.969740171,0.039080445,0.312019205,0.073659012,0.001363147,0.934,0.891,0.931,0.816,0.489,0.0186,1.04,0.5,0.898,1.7
436,FAM120A,Q9NZB2,0.020776556,0.326094981,0.716435108,0.576159659,0.442762194,0.816,0.918,0.951,0.894,0.873,1.05,0.432,-0.159,-0.245,0.337
437,FAM171B,Q6P995,0.797507863,0.675520149,0.005866973,0.002177652,0.959276032,0.929,0.927,0.751,0.616,0.904,-0.165,0.27,1.88,2.12,0.0329
438,FARSA,Q9Y285,0.007109125,0.084943925,0.805366151,0.866155755,0.142536306,0.767,0.901,0.953,0.908,0.821,2.23,1.38,-0.193,0.132,1.17
439,FARSB,Q9NSD9,0.040589847,0.010122707,0.000288452,0.118093112,0.000222825,0.842,0.873,0.471,0.836,0.331,-1.24,-1.58,-2.35,-0.933,-2.4
440,FBL,P22087,0.822631961,0.018974567,0.007908895,0.396517651,0.723489194,0.93,0.882,0.772,0.881,0.893,0.108,-1.18,-1.35,-0.412,0.171
441,FBLL1,A6NHQ2,0.072064335,0.370590675,0.887390304,0.095600423,0.681864236,0.862,0.919,0.955,0.828,0.89,1.76,-0.862,-0.136,1.63,0.393
442,FBRSL1,Q9HCM7,0.439086433,0.717458465,0.465704486,0.765545669,0.965849801,0.914,0.928,0.941,0.903,0.904,-0.945,0.44,0.89,-0.363,0.0521
443,FHL1,Q13642,0.21087201,0.10741709,0.200204255,0.961614828,0.393770333,0.894,0.904,0.919,0.911,0.868,1.39,1.81,1.43,0.0529,0.943
444,FHL2,Q14192,0.67118422,0.637946318,0.22245205,0.745013783,0.876887099,0.925,0.926,0.922,0.902,0.9,0.289,-0.321,0.84,0.222,-0.106
445,FKBP4,Q02790,0.114338155,0.000192957,0.012112126,0.354111004,0.003891376,0.877,0.804,0.799,0.877,0.58,-1.43,-3.68,-2.34,-0.829,2.73
446,FLG,P20930,0.883994356,0.498537908,0.612061236,0.97525982,0.590783541,0.931,0.923,0.947,0.912,0.884,-0.124,-0.577,0.432,-0.0263,-0.458
447,FMR1,Q06787,5.89e-06,0.026143075,0.165322316,0.23476564,0.228437009,0.266,0.886,0.914,0.863,0.844,2.98,-1.3,-0.791,-0.675,-0.684
448,FN1,P02751,0.933602885,0.729744772,0.21707851,0.494304085,0.645745135,0.933,0.928,0.922,0.889,0.888,0.203,0.844,3.05,1.67,1.12
449,FN3KRP,Q9HA64,0.494573628,0.094469896,0.774455928,0.473552556,0.343000701,0.917,0.903,0.952,0.887,0.862,-0.519,-1.29,-0.217,-0.544,-0.722
450,FRS2,Q8WU20,0.850571933,0.175132377,0.22427169,7.21e-06,0.830374818,0.93,0.91,0.923,0.194,0.898,0.122,0.891,0.797,3.4,0.139
451,FUS,P35637,0.145078261,0.084258786,0.231188962,0.323530774,0.13741347,0.884,0.901,0.923,0.874,0.819,-1.32,-1.58,-1.08,-0.89,-1.35
452,FXR2,P51116,0.003066684,0.248447947,0.538102055,0.898322066,0.81955779,0.723,0.914,0.944,0.909,0.898,2.23,-0.821,-0.435,0.09,-0.161
453,G3BP1,Q13283,0.917489094,0.089915237,0.049379765,0.386353017,0.408337395,0.932,0.902,0.871,0.88,0.869,-0.0996,-1.66,-1.94,-0.837,-0.798
454,GAK,O14976,0.852258002,0.00207088,0.332720394,0.811440989,0.948825539,0.93,0.848,0.933,0.905,0.903,-0.11,1.94,0.574,0.14,-0.0377
455,GAPDH,P04406,0.014041714,0.000342428,0.164279585,0.351209265,0.208741539,0.799,0.816,0.914,0.877,0.839,-1.82,-2.8,-1,-0.666,-0.903
456,GAPVD1,Q14C86,1.24e-07,5.84e-10,0.002288803,0.003674759,0.020533195,0.0734,0.314,0.677,0.652,0.707,5.5,7.04,2.74,2.59,2.02
457,GART,P22102,0.019088738,0.061528153,0.001892833,0.309764498,0.864425294,0.812,0.897,0.66,0.873,0.9,-1.74,-1.37,-2.38,-0.729,-0.122
458,GDI2,P50395,0.199728326,0.005172691,0.154363976,0.726066653,0.610353055,0.893,0.863,0.912,0.902,0.886,-2.41,-5.51,-2.69,-0.652,-0.95
459,GGA3,Q9NZ52,0.069474595,6.8e-05,0.002849153,0.001286378,4.19e-05,0.861,0.78,0.695,0.578,0.204,0.987,2.38,1.69,1.85,2.47
460,GIGYF1,O75420,0.00056854,0.000240265,0.373040424,0.522928378,0.12982462,0.615,0.808,0.936,0.891,0.816,2.26,2.44,0.538,0.385,0.926
461,GLMN,Q92990,0.754408466,0.243853858,0.601730528,0.937284282,2.5e-05,0.927,0.914,0.947,0.91,0.172,-0.18,0.677,-0.301,-0.0452,2.77
462,GLOD4,Q9HC38,0.149118033,0.036940977,0.01978594,0.009314219,0.059930734,0.885,0.891,0.827,0.711,0.775,-1.13,-1.66,-1.87,-2.11,-1.49
463,GMPS,P49915,0.086289919,0.399635684,0.120325005,0.778152338,0.612468297,0.868,0.92,0.904,0.904,0.886,1.11,-0.537,-1,-0.179,0.322
464,RACK1,P63244,0.884677123,0.867888444,0.692480972,0.972994394,0.391061895,0.931,0.931,0.95,0.911,0.867,-0.0585,0.0671,0.16,0.0137,-0.348
465,GOLGB1,Q14789,0.580113301,0.231757919,0.00020915,1.85e-06,0.002624658,0.921,0.914,0.437,0.125,0.546,0.288,0.627,2.13,2.95,1.67
466,GOPC,Q9HD26,0.474590505,0.40477066,0.733527513,0.263286772,0.222813029,0.916,0.92,0.951,0.867,0.842,-0.333,0.388,0.158,0.524,0.571
