X,GeneID,MajorityProteinIDs,pval_DVL3.CTRL,pval_PRICKLE1.CTRL,pval_ROR1.CTRL,pval_ROR2.CTRL,pval_VANGL2.CTRL,adjpval_DVL3.CTRL,adjpval_PRICKLE1.CTRL,adjpval_ROR1.CTRL,adjpval_ROR2.CTRL,adjpval_VANGL2.CTRL,logFC_DVL3.CTRL,logFC_PRICKLE1.CTRL,logFC_ROR1.CTRL,logFC_ROR2.CTRL,logFC_VANGL2.CTRL
62,DTNA,Q9Y4J8,0.579939684,0.000157042,0.184599135,4.48e-13,0.932147967,0.921,0.799,0.917,3.09e-05,0.903,-0.274,2.08,0.665,5.51,-0.0421
63,DVL1,O14640,2.78e-17,3.79e-13,1.51e-09,1.48e-06,7.3e-12,5.64e-09,0.0589,0.000821,0.115,2.92e-05,10.6,7.62,5.49,3.91,6.82
64,DVL2,O14641,1.96e-26,2.29e-23,2.73e-21,4e-22,5.28e-21,6.81e-14,1.54e-07,4.19e-14,3.99e-14,3.96e-14,12.2,9.83,8.48,9,8.31
65,DVL3,Q92997,1.22e-22,2.43e-15,1.3e-12,4.03e-12,3.07e-14,6.81e-14,0.0161,1.46e-06,0.000158,1.78e-07,13.8,8.04,6.43,6.16,7.36
66,ECD,O95905,0.87907463,1.92e-08,0.230081354,0.21374133,3.63e-11,0.931,0.486,0.923,0.859,0.000103,0.0999,4.73,0.796,0.825,6.19
67,EHBP1,Q8NDI1,0.115596025,2.95e-09,1.25e-05,3.39e-10,1.98e-06,0.877,0.394,0.174,0.0024,0.0633,0.867,4.25,2.74,4.66,3.06
68,EIF4ENIF1,Q9NRA8,7.49e-17,2.28e-14,0.170720705,0.011944752,0.728218583,1.73e-08,0.03,0.915,0.725,0.893,7,5.76,0.645,1.22,-0.161
69,EIF4G3,O43432,3.23e-14,1.41e-11,0.332892553,2.77e-05,0.007735074,1.11e-05,0.155,0.933,0.282,0.635,8.31,6.64,0.662,3.25,1.91
70,EIF5,P55010,1.55e-10,1.13e-11,0.506160708,3.87e-08,5.1e-10,0.00319,0.147,0.943,0.0255,0.000685,5.06,5.61,-0.379,3.96,4.81
71,EMD,P50402,0.212190073,0.003373507,0.105506886,1.36e-07,4.65e-21,0.895,0.856,0.899,0.0449,3.96e-14,0.492,1.22,0.643,2.55,8.01
72,EPB41,P11171,1.25e-09,6.76e-15,2.89e-13,2.7e-17,1.05e-07,0.00835,0.0215,2.56e-07,1.38e-09,0.0151,5.24,8.32,7.28,10,4.26
73,EPB41L2,O43491,4.77e-10,5.02e-16,2.88e-16,1.03e-19,7.34e-12,0.00536,0.0107,1.69e-11,9.98e-14,2.93e-05,4.49,7.48,7.62,9.86,5.31
74,EPB41L3,Q9Y2J2,1.19e-09,2.42e-15,9.76e-15,3.31e-18,5.27e-10,0.00818,0.0161,4.28e-09,5.8e-11,7e-04,4.83,7.94,7.56,9.88,5.01
75,EPB41L5,Q9HCM4,0.239399005,0.312528034,0.085908044,5.65e-12,0.614495285,0.898,0.917,0.892,0.000197,0.886,-0.669,0.573,0.988,5.71,-0.284
76,EPHA2,P29317,0.125586983,5.57e-13,5.17e-11,3.82e-12,1.34e-05,0.88,0.0662,6.27e-05,0.000152,0.137,0.803,5.7,4.79,5.3,2.59
77,EPS15L1,Q9UBC2,1.78e-06,1.25e-09,6.79e-06,2.12e-09,0.158390424,0.188,0.352,0.134,0.00609,0.826,4.43,6.34,4.09,6.2,1.11
78,ERBIN,Q96RT1,1.41e-11,1.44e-24,1.2e-19,4.47e-21,2.65e-13,0.000889,1.13e-08,4.19e-14,3.99e-14,1.36e-06,4.64,12.5,8.8,9.76,5.38
79,ESYT1,Q9BSJ8,0.428481241,0.132414492,0.042809733,1.44e-06,2.56e-11,0.913,0.907,0.865,0.114,7.94e-05,-0.679,1.31,1.78,4.92,8.16
80,EXOC4,Q96A65,2.17e-08,1.09e-12,1.6e-06,1.66e-08,1.75e-10,0.0347,0.0804,0.0673,0.0169,0.00033,4.59,6.92,3.68,4.65,5.68
81,FAF2,Q96CS3,0.235018642,0.521165481,0.345459396,0.754397276,8.27e-16,0.897,0.924,0.934,0.903,2.17e-09,-0.557,0.299,0.441,-0.145,6.46
82,FAM171A1,Q5VUB5,0.404721836,0.90553485,4.45e-05,2.81e-08,0.797449096,0.912,0.931,0.279,0.0219,0.896,-0.593,0.084,3.28,5.01,0.182
83,WASHC2C,Q9Y4E1,4.13e-12,3.13e-14,0.014589356,9.25e-10,9.67e-14,0.000423,0.0325,0.81,0.00405,4.69e-07,5.1,6.09,1.27,4.1,5.86
84,FKBP8,Q14318,0.876985399,0.205869943,0.576601655,0.400033731,1.98e-07,0.931,0.912,0.946,0.881,0.021,0.1,0.828,0.362,0.547,4.15
85,FLOT2,Q14254,0.269555364,0.018565999,0.000275252,1.11e-07,0.642996635,0.901,0.881,0.466,0.0411,0.888,-0.653,1.44,2.36,3.88,-0.272
86,FNDC3A,Q9Y2H6,0.564054508,0.274356729,0.974124155,0.926199958,2.55e-08,0.92,0.916,0.957,0.91,0.00681,0.271,0.517,0.0152,-0.0435,3.34
87,FUBP3,Q96I24,4.46e-08,0.914824927,0.658063997,0.595589462,0.61628687,0.0479,0.932,0.949,0.895,0.886,3.6,0.0557,-0.231,0.277,-0.261
88,GAB1,Q13480,0.772619298,0.110637491,0.00292909,3.78e-09,0.818191305,0.928,0.904,0.697,0.00795,0.898,-0.197,1.11,2.16,5.28,-0.156
89,GCN1,Q92616,2.45e-14,6.7e-18,0.331219786,9.49e-10,3.72e-12,9.09e-06,0.00204,0.933,0.0041,1.68e-05,6.31,8.32,0.499,4.2,5.25
90,GEMIN5,Q8TEQ6,7.15e-12,5.62e-11,0.448771409,0.40524548,0.119540336,0.000593,0.208,0.94,0.882,0.812,5.4,4.98,0.409,0.45,0.852
91,GPATCH1,Q9BRR8,2.64e-11,4.66e-14,0.081881442,0.004524289,1.75e-07,0.00129,0.0355,0.89,0.666,0.0197,6.57,8.32,1.22,2.07,4.44
92,GPRIN1,Q7Z2K8,0.711808437,0.002511057,0.122128699,9.24e-13,0.919589842,0.926,0.852,0.904,5.38e-05,0.902,-0.201,1.76,0.854,5.89,-0.0548
93,GPRIN3,Q6ZVF9,0.570665167,0.00329967,0.005730273,2.82e-08,0.728077744,0.92,0.856,0.75,0.0219,0.893,0.258,1.42,1.33,3.21,-0.158
94,GRAMD1A,Q96CP6,0.914457648,0.089820514,0.809127514,0.677418068,7.98e-14,0.932,0.902,0.953,0.899,3.95e-07,0.0747,1.2,0.168,-0.289,8.25
95,GRAMD1B,Q3KR37,0.625444207,0.442684706,0.781859555,0.850183122,2.1e-11,0.923,0.922,0.952,0.907,6.81e-05,-0.293,0.462,0.166,0.113,5.77
96,GRAMD2B,Q96HH9,0.515900407,0.218615233,0.134125138,0.694564474,2.12e-08,0.918,0.913,0.907,0.9,0.00618,-0.293,0.56,-0.686,-0.177,3.23
97,HAUS6,Q7Z4H7,1.18e-14,1.09e-16,0.476457266,2.87e-06,2.23e-07,4.98e-06,0.00624,0.942,0.145,0.0223,6.67,7.83,0.376,2.91,3.36
98,HDLBP,Q00341,1.43e-09,4.46e-12,0.677985451,4.56e-05,2.49e-06,0.00897,0.117,0.949,0.318,0.0699,5.14,6.49,0.264,2.94,3.54
99,IARS2,Q9NSE4,0.753132491,0.463151197,0.361865361,0.426142024,1.83e-09,0.927,0.922,0.935,0.884,0.00154,-0.168,0.392,0.489,0.426,4.27
100,IFIT5,Q13325,1.2e-08,2.88e-13,8.54e-05,3.73e-11,1.11e-10,0.0264,0.0547,0.343,0.000658,0.000238,4.26,6.55,2.56,5.45,5.22
101,IL1RL1,Q01638,3.09e-11,4.48e-13,1.58e-08,3.48e-12,2.21e-09,0.00141,0.062,0.00414,0.000143,0.00171,7.26,8.53,5.56,7.9,6.08
102,JPH1,Q9HDC5,0.993373499,0.008221285,0.00723337,2.93e-09,8.9e-05,0.934,0.87,0.766,0.00707,0.257,0.0043,1.44,1.47,4.07,2.28
103,KIAA1217,Q5T5P2,0.000432213,8.35e-15,1.36e-06,2.1e-08,0.478481289,0.596,0.0229,0.0619,0.019,0.876,2.5,8.32,3.75,4.65,0.461
104,KIAA1671,Q9BY89,4.19e-09,5.27e-15,0.023693683,0.047164616,0.834233689,0.0157,0.0199,0.837,0.796,0.898,5.55,9.38,1.69,1.47,0.15
105,KMT2B,Q9UMN6,0.68576875,8.53e-16,0.515708087,0.145157371,0.82927462,0.925,0.0125,0.943,0.844,0.898,-0.186,6.36,0.299,-0.678,-0.0988
106,KTN1,Q86UP2,1.42e-06,0.000439809,0.951206769,0.00103432,6.69e-14,0.176,0.82,0.957,0.561,3.48e-07,3.78,2.53,0.0401,2.33,7.82
107,LASP1,Q14847,0.000409801,1.06e-05,3.64e-08,9.54e-06,0.027355724,0.592,0.731,0.00728,0.211,0.726,1.82,2.4,3.28,2.42,1.07
108,LEMD3,Q9Y2U8,0.083247581,0.000269321,0.134559689,1.19e-06,2.04e-16,0.867,0.811,0.907,0.107,3.86e-10,1.01,2.3,0.869,3.33,8.33
109,LLGL1,Q15334,0.974669004,0.099748326,0.004669093,3.24e-12,0.627358121,0.934,0.903,0.734,0.000137,0.887,-0.017,0.897,1.6,5.53,0.26
110,LRBA,P50851,8.63e-09,1.99e-09,2.09e-06,4.03e-10,4.62e-05,0.0225,0.375,0.0769,0.00264,0.211,5.29,5.65,3.99,6.05,3.27
111,CARMIL3,Q8ND23,8.62e-19,2.66e-19,2.51e-17,1.71e-17,1.67e-18,3.62e-11,0.00038,1.4e-13,7.62e-10,6.6e-14,10,10.4,9,9.12,9.83
112,LRRC59,Q96AG4,0.092122387,0.891165811,0.154694572,0.755444547,1.55e-09,0.87,0.931,0.912,0.903,0.00139,-1.29,0.102,-1.08,-0.233,6.05
113,LSG1,Q9H089,0.390058346,0.392442743,0.350557882,0.961485236,1.07e-11,0.911,0.92,0.934,0.911,4e-05,-0.488,0.485,0.53,-0.0273,5.58
114,LSR,Q86X29,0.259318064,0.266642243,7.64e-09,1.67e-11,0.670584049,0.9,0.915,0.00258,0.000403,0.89,-0.649,0.639,4.29,5.54,-0.243
115,LUZP1,Q86V48,8.79e-11,1.49e-18,0.723913461,0.250992939,0.844640754,0.00237,0.00101,0.951,0.865,0.899,4.67,8.79,0.181,0.595,0.101
116,MACF1,Q9UPN3,0.015807936,5.99e-11,0.002861155,1.03e-08,0.325921505,0.804,0.211,0.695,0.0133,0.86,1.74,6.39,2.2,5.13,0.683
117,MAGED1,Q9Y5V3,9.64e-07,0.174786626,0.54701893,2.14e-11,0.637475588,0.155,0.91,0.945,0.000466,0.887,3.42,0.798,0.35,5.59,0.274
118,MAP4K4,O95819,0.002949251,8.64e-11,3.37e-06,2.93e-09,1.51e-05,0.72,0.226,0.0971,0.00707,0.144,2.07,5.93,3.57,5.11,3.25
119,MAP4K5,Q9Y4K4,0.34493877,2.42e-05,0.001545772,1.04e-11,0.080282807,0.908,0.754,0.641,3e-04,0.791,0.577,2.94,2.07,6.02,1.09
120,MAP7D3,Q8IWC1,2.23e-08,2.77e-13,0.569921425,0.001307167,0.076996966,0.0352,0.0543,0.946,0.579,0.789,4.54,7.19,0.361,2.2,1.15
121,MARK2,Q7KZI7,0.173804629,1.05e-07,0.0173262,1.27e-09,0.499597507,0.889,0.564,0.82,0.00475,0.878,-0.79,3.8,1.42,4.67,-0.388
122,MARK3,P27448,0.227861542,5.02e-09,0.829297437,1.85e-10,0.275097038,0.897,0.421,0.954,0.00172,0.852,-0.586,3.68,-0.104,4.24,-0.529
123,AFDN,P55196,1.12e-17,4.22e-24,9.73e-22,8.93e-24,1.32e-13,1.75e-09,3.17e-08,4.19e-14,3.99e-14,6.44e-07,7.19,11.4,9.68,11.2,5.23
124,MTDH,Q86UE4,0.175856357,0.862934932,0.927886722,0.19415913,2.33e-08,0.889,0.931,0.956,0.856,0.00651,1.05,0.133,0.0695,1.01,5.49
125,MTR,Q99707,5.07e-11,0.240407824,0.875837442,0.25550294,0.195197707,0.00183,0.914,0.955,0.866,0.836,4.43,0.565,0.0745,0.547,0.625
126,NBAS,A2RRP1,0.964677606,0.553068503,0.928885223,0.519262214,6.18e-08,0.934,0.925,0.956,0.89,0.0113,-0.0192,0.258,-0.0387,0.28,2.95
127,NCK2,O43639,0.824602774,1.57e-15,0.647978077,0.000186132,0.981516877,0.93,0.0146,0.948,0.427,0.905,0.117,7.2,0.242,2.2,0.0123
128,NOTCH2,Q04721,0.80197254,0.542447731,1.59e-06,7.27e-13,0.438589834,0.929,0.924,0.067,4.51e-05,0.872,-0.174,0.424,3.98,7.6,0.54
129,NUDC,Q9Y266,6.7e-08,0.000868311,0.537605222,0.002945044,5.88e-16,0.0569,0.833,0.944,0.637,1.38e-09,4.01,2.14,-0.366,1.88,8.32
130,NUDCD2,Q8WVJ2,0.383044067,0.012103875,0.001782368,0.006691348,7.41e-09,0.91,0.875,0.654,0.691,0.00343,0.434,-1.3,-1.66,-1.42,3.72
131,NUDCD3,Q8IVD9,0.654230657,0.664159743,0.522035255,0.150410715,3.69e-16,0.924,0.927,0.944,0.846,7.91e-10,0.215,0.208,0.307,0.699,6.84
132,NUFIP2,Q7Z417,4.46e-12,4.57e-11,0.240647006,0.000141358,0.343814914,0.000442,0.2,0.924,0.406,0.862,6.79,6.2,0.787,2.82,-0.632
133,NUMB,P49757,0.762093263,3.53e-11,1.48e-14,5.33e-16,0.112661153,0.928,0.189,7.43e-09,4.64e-08,0.809,0.146,4.56,6.08,6.82,0.781
134,NUMBL,Q9Y6R0,0.649586836,0.803255346,0.001037693,3.23e-09,0.87157021,0.924,0.93,0.603,0.00738,0.9,-0.275,0.151,2.15,4.73,-0.0978
135,OCLN,Q16625,0.568638031,0.80699889,0.002998212,1.59e-10,0.804917487,0.92,0.93,0.699,0.00158,0.897,-0.435,0.186,2.41,6.77,-0.188
136,OFD1,O75665,1.33e-10,3.29e-15,0.075484178,0.966825166,0.448741866,0.00296,0.0171,0.887,0.911,0.873,4.33,6.42,0.88,-0.0201,0.368
137,OSBPL8,Q9BZF1,0.402384659,0.044971857,0.088776819,0.768505791,1.66e-11,0.912,0.893,0.893,0.903,5.7e-05,0.408,1,0.842,-0.143,4.71
138,OTUD4,Q01804,0.026980409,0.496135572,0.745449015,8.31e-08,0.742914128,0.826,0.923,0.951,0.0362,0.894,1.62,0.484,-0.23,4.76,-0.233
139,PARD3,Q8TEW0,0.000101027,1.66e-10,2.38e-08,1.24e-10,0.173079937,0.485,0.255,0.00548,0.00138,0.831,2.78,5.65,4.54,5.72,0.879
140,PCM1,Q15154,5.15e-10,9.01e-11,0.516982192,0.054014548,0.010386192,0.00552,0.228,0.943,0.803,0.658,7.67,8.25,0.589,1.8,2.44
141,PCNT,O95613,0.002586848,1.68e-14,0.849679803,0.233563293,0.610859828,0.713,0.0278,0.954,0.862,0.886,2,7.79,0.118,0.748,0.317
142,PDCL,Q13371,0.6053199,0.003362323,0.508265174,0.600923009,9.42e-13,0.922,0.856,0.943,0.895,4.96e-06,0.256,1.54,0.328,0.259,5.35
143,PDE3B,Q13370,0.975472821,0.053729953,0.204718729,0.592516959,1.32e-10,0.934,0.895,0.92,0.895,0.00027,-0.0187,1.2,0.78,0.326,5.44
144,PDLIM1,O00151,3.22e-13,3.07e-16,2.03e-06,1.35e-13,2.58e-12,7e-05,0.00916,0.0758,1.21e-05,1.22e-05,5.1,6.5,2.56,5.26,4.72
145,PDLIM5,Q96HC4,2.61e-13,6.69e-16,1.56e-07,4.09e-13,4.35e-12,6.08e-05,0.0117,0.0183,2.9e-05,1.91e-05,5.28,6.5,3.02,5.19,4.76
146,PDZRN3,Q9UPQ7,0.802468648,4.38e-16,0.18335647,0.729280017,0.543968373,0.929,0.0103,0.917,0.902,0.881,0.111,6.32,0.6,0.154,0.271
147,PEAK1,Q9H792,0.187662463,1.27e-12,5.78e-07,1.02e-09,0.402083793,0.891,0.0841,0.0391,0.00425,0.869,1.05,8.45,4.78,6.48,-0.663
148,PGRMC2,O15173,0.41955602,0.000580981,0.050654787,0.001273734,7.93e-14,0.913,0.826,0.872,0.577,3.94e-07,0.558,2.59,1.38,2.4,8.17
149,PHACTR4,Q8IZ21,0.592852765,1.23e-12,2.97e-07,2.59e-14,0.752675213,0.921,0.0832,0.0268,2.7e-06,0.894,-0.335,6.71,3.93,7.72,0.197
150,PHLDB2,Q86SQ0,0.52664414,1.74e-17,0.000865115,0.003098031,0.185472754,0.918,0.00305,0.586,0.64,0.834,0.267,6.64,1.52,1.33,0.563
151,PICALM,Q13492,0.750888369,0.916618613,2.51e-05,1.07e-11,0.983363794,0.927,0.932,0.228,0.000304,0.905,0.153,-0.0504,2.32,4.76,-0.01
152,PLEKHA1,Q9HB21,0.382887169,1.78e-07,2.69e-06,4.77e-09,0.317298359,0.91,0.586,0.0871,0.00891,0.858,0.623,4.59,3.95,5.46,0.715
153,PLEKHA5,Q9HAU0,2.81e-05,2.56e-14,1.41e-13,4.74e-15,0.02893765,0.383,0.0309,1.18e-07,4.98e-07,0.73,3.02,7.78,7.32,8.25,1.43
