X,GeneID,MajorityProteinIDs,U1,S1,B1,U2,S2,B2,U3,S3,B3,U4,S4,B4,U5,S5,B5,U6,S6,B6,U7,S7,B7,U8,S8,B8,U9,S9,B9,U10,S10,B10,U11,S11,B11,C1,C2,C3,C4,C5
4530,MFSD1,Q9H3U5,0,0,0,45760,0,0,0,0,0,134930,0,0,0,0,0,0,0,0,97757,0,0,152150,0,0,6701.1,0,0,2362.5,0,0,105500,0,0,101740,0,0,0,0
4531,DNAJC5,Q9H3Z4,1278500,139580,0,659150,50481,0,958470,26498,0,1058200,97413,0,1107200,35072,0,771510,48316,0,337240,18799,0,705720,51666,0,2378000,59592,0,156910,18752,0,380700,104100,0,123850,9614.7,407140,1036800,0
4532,LIME1,Q9H400,0,0,0,0,0,0,0,0,0,23654,0,0,0,0,0,0,0,0,10474,0,0,0,0,0,75002,0,0,0,0,0,0,0,0,0,0,0,0,0
4533,CHMP4B,Q9H444,0,34529,0,0,0,0,127240,0,0,288260,196710,0,441560,35987,0,48986,58411,0,1029400,183430,0,1965100,395000,0,906900,0,0,151690,26590,0,401950,15525,0,0,85996,217990,1350900,0
4534,RWDD1,Q9H446,0,0,0,0,0,0,0,0,0,70869,0,0,0,0,0,0,0,0,41022,0,0,0,0,0,67421,0,0,17844,0,0,19685,0,0,0,0,0,0,0
4535,FN3K,Q9H479,0,0,0,0,0,0,23247,0,0,16319,0,0,0,0,0,78138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144440,0
4536,POFUT1,Q9H488,308470,82729,0,104700,18377,0,56344,0,0,192940,0,0,174410,0,0,291000,0,0,91519,0,0,7436.4,0,0,0,0,0,19672,0,0,264310,62000,0,4229.5,0,41308,0,0
4537,PIGU,Q9H490,530790,0,0,79424,0,0,201450,0,0,128570,0,0,75376,0,0,81067,0,0,33312,0,0,21031,0,0,0,0,0,27314,0,0,192860,0,0,12221,0,69534,0,82517
4538,RNPEP,Q9H4A4,118170,44804,0,185790,0,0,139110,39436,0,496170,110350,0,54490,0,0,48921,75867,0,504520,61029,0,1510600,455040,0,1044100,158050,11026,167570,0,0,356020,0,0,83079,0,45417,823650,0
4539,GOLPH3,Q9H4A6,57764,0,0,42507,0,0,79355,0,0,37862,0,0,99505,0,0,48352,7562.3,0,9869.6,0,0,13159,0,0,82665,0,0,0,0,0,5747.6,0,0,0,0,0,81481,0
